iso3,area_name,in_wiod_niots,in_tiva_allowed,in_tiva_extract,include_lab2,notes
A5_A7,South and Central America,False,True,False,False,
AGO,Angola,False,True,False,False,
APEC,APEC,False,True,False,False,
ARE,United Arab Emirates,False,True,False,False,
ARG,Argentina,False,True,False,False,
ASEAN,ASEAN,False,True,False,False,
AUS,Australia,True,True,False,False,
AUT,Austria,True,True,False,False,
BEL,Belgium,True,True,False,False,
BGD,Bangladesh,False,True,False,False,
BGR,Bulgaria,True,True,False,False,
BLR,Belarus,False,True,False,False,
BRA,Brazil,True,True,False,False,
BRN,Brunei Darussalam,False,True,False,False,
CAN,Canada,True,True,False,False,
CHE,Switzerland,True,True,False,False,
CHL,Chile,False,True,False,False,
CHN,China (People’s Republic of),True,True,True,True,
CIV,Côte d’Ivoire,False,True,False,False,
CMR,Cameroon,False,True,False,False,
COD,Democratic Republic of the Congo,False,True,False,False,
COL,Colombia,False,True,False,False,
CRI,Costa Rica,False,True,False,False,
CYP,Cyprus,True,True,False,False,
CZE,Czechia,True,True,False,False,
DEU,Germany,True,True,False,False,
DNK,Denmark,True,True,False,False,
E,Europe,False,True,False,False,
EA19,Euro area (19 countries),False,True,False,False,
EGY,Egypt,False,True,False,False,
ESP,Spain,True,True,False,False,
EST,Estonia,True,True,False,False,
EU15,European Union (15 countries),False,True,False,False,
EU27_2020,European Union (27 countries from 01/02/2020),False,True,False,False,
EU28,European Union (28 countries),False,True,False,False,
EU28XEU15,European Union 28 excluding European Union 15 countries,False,True,False,False,
F,Africa,False,True,False,False,
FIN,Finland,True,True,False,False,
FRA,France,True,True,False,False,
G20,G20,False,True,False,False,
GBR,United Kingdom,True,True,False,False,
GRC,Greece,True,True,False,False,
HKG,Hong Kong (China),False,True,False,False,
HRV,Croatia,True,True,False,False,
HUN,Hungary,True,True,False,False,
IDN,Indonesia,True,True,True,True,
IND,India,True,True,True,True,
IRL,Ireland,True,True,False,False,
ISL,Iceland,False,True,False,False,
ISR,Israel,False,True,False,False,
ITA,Italy,True,True,False,False,
JOR,Jordan,False,True,False,False,
JPN,Japan,True,True,True,True,
KAZ,Kazakhstan,False,True,False,False,
KHM,Cambodia,False,True,False,False,
KOR,Korea,True,True,True,True,
LAO,Lao People’s Democratic Republic,False,True,False,False,
LTU,Lithuania,True,True,False,False,
LUX,Luxembourg,True,True,False,False,
LVA,Latvia,True,True,False,False,
MAR,Morocco,False,True,False,False,
MEX,Mexico,True,True,False,False,
MLT,Malta,True,True,False,False,
MMR,Myanmar,False,True,False,False,
MYS,Malaysia,False,True,True,True,
NAFTA,NAFTA,False,True,False,False,
NGA,Nigeria,False,True,False,False,
NLD,Netherlands,True,True,False,False,
NOR,Norway,True,True,False,False,
NZL,New Zealand,False,True,False,False,
OECD,OECD,False,True,False,False,
PAK,Pakistan,False,True,False,False,
PER,Peru,False,True,False,False,
PHL,Philippines,False,True,True,True,
POL,Poland,True,True,False,False,
PRT,Portugal,True,True,False,False,
ROU,Romania,True,True,False,False,
RUS,Russia,True,True,False,False,
S2,Eastern Asia,False,True,False,False,
S2_S8,Eastern and South-eastern Asia,False,True,False,False,
SAU,Saudi Arabia,False,True,False,False,
SEN,Senegal,False,True,False,False,
SGP,Singapore,False,True,True,True,
STP,Sao Tome and Principe,False,True,False,False,
SVK,Slovak Republic,True,True,False,False,
SVN,Slovenia,True,True,False,False,
SWE,Sweden,True,True,False,False,
THA,Thailand,False,True,True,True,
TUN,Tunisia,False,True,False,False,
TUR,Türkiye,True,True,False,False,
TWN,Chinese Taipei,True,True,False,False,
UKR,Ukraine,False,True,False,False,
USA,United States,True,True,False,False,
VNM,Viet Nam,False,True,True,True,
W,World,False,True,False,False,
WXD,Rest of the world,False,True,False,False,
WXOECD,Non-OECD economies,False,True,False,False,
W_O,Other countries,False,True,False,False,
ZAF,South Africa,False,True,False,False,
